UF,tf,al,ghg_kwh
AC,0.89298,0.020,63.523334227621400
AL,0.105652,0.01,35.293580568213900
AM,0.104375,0.030,84.15379143312450
AP,0.89735,0.030,84.15379143312450
BA,0.105865,0.025,35.293580568213900
CE,0.91946,0.025,35.293580568213900
DF,0.94103,0,63.523334227621400
ES,0.791025,0.020,63.523334227621400
GO,0.85101,0.030,63.523334227621400
MA,0.87463,0,84.15379143312450
MG,0.85261,0.020,63.523334227621400
MS,1.09326,0.021,63.523334227621400
MT,1.06779999999999,0.040,63.523334227621400
PA,1.15699,0.025,84.15379143312450
PB,0.74372,0.030,35.293580568213900
PE,0.93972,0,35.293580568213900
PI,0.92513,0.035,35.293580568213900
PR,0.71567,0.025,86.54806447196610
RJ,1.1747400,0.005,63.523334227621400
RN,0.848919999999999,0.030,35.293580568213900
RO,0.7569,0.030,63.523334227621400
RR,0.8949699999999,0.030,0.0
RS,0.70889,0,86.54806447196610
SC,0.7979211111,0.020,86.54806447196610
SE,0.90585,0.040,35.293580568213900
SP,0.8882184210526310,0.025,63.523334227621400
TO,0.93815,0.020,84.15379143312450
