UF,fp,al,fp_pv
AC,10.51155885126244,0.02,19.841196670618977
AL,10.50670662677988,0.03,18.722517237265397
AM,10.550571368427876,0.03,20.165857792310334
AP,10.515160141423085,0.03,19.729358856572254
BA,10.511161326192568,0.03,18.80989080684605
CE,10.502702632730363,0.03,18.246245115318946
DF,10.52315929086544,0.04,18.56715550379175
ES,10.520768447491946,0.02,19.25065785628939
GO,10.52545368176236,0.04,18.509107342145025
MA,10.498702071237751,0.03,18.88549006540441
MG,10.522527881947235,0.04,18.93483137628715
MS,10.525673940857814,0.04,18.921907600898106
MT,10.52584507171935,0.03,19.009534599280105
PA,10.521742759116076,0.03,19.54154601152968
PB,10.5024354696816,0.03,18.281801993062007
PE,10.498964774340283,0.03,18.579411208096992
PI,10.501080738788136,0.03,18.14981646718539
PR,10.525109234271866,0.04,19.28813153671194
RJ,10.525686371361337,0.04,19.349338041075303
RN,10.500996620093511,0.03,18.142089417209107
RO,10.522433160808315,0.03,19.800824701346453
RR,10.51602033185146,0.03,19.373194262058803
RS,10.538945417087067,0.03,19.679631954327032
SC,10.530369033065698,0.02,20.10425849535904
SE,10.503938689304489,0.03,18.719121328369663
SP,10.522722682540667,0.04,19.01028489097968
TO,10.523153058017517,0.02,18.786104166643348
